id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
1826,1729,1729,2008/2009,18,8559,8462,2,1,2.2,3.25,3.4,2.25,3.15,2.95,2.1,3.1,3.2,2.2,3.3,3.3,2.2,3.2,3.4,2.1,3.3,3.4
1827,1729,1729,2008/2009,18,8659,8456,2,1,3.25,3.3,2.25,3.1,3.2,2.15,2.8,3.1,2.3,3.1,3.3,2.3,3.2,3.25,2.25,3.2,3.25,2.25
1828,1729,1729,2008/2009,18,8667,8472,1,4,2.1,3.25,3.75,1.95,3.2,3.65,2.1,3.1,3.2,2,3.4,3.75,2.1,3.2,3.6,2,3.3,3.8
1829,1729,1729,2008/2009,19,8650,8559,3,0,1.33,4.5,12,1.25,4.85,11,1.33,4.2,8,1.36,4.5,9,1.36,4.2,11,1.33,4.6,10
1830,1729,1729,2008/2009,19,8472,8655,0,0,2.25,3.25,3.3,2.1,3.15,3.25,2.2,3.1,3,2.25,3.25,3.25,2.3,3.2,3.2,2.25,3.25,3.25
1831,1729,1729,2008/2009,19,8586,9879,0,0,1.72,3.6,5,1.72,3.4,4.5,1.75,3.3,4.2,1.73,3.5,5,1.8,3.4,4.6,1.75,3.7,4.5
1832,1729,1729,2008/2009,19,10252,9825,2,2,2.5,3.3,2.87,2.5,3.15,2.6,2.5,3,2.7,2.38,3.25,3,2.5,3.2,2.88,2.5,3.3,2.8
1833,1729,1729,2008/2009,19,8549,8668,0,1,2.5,3.3,2.87,2.65,3.15,2.45,2.4,3.1,2.7,2.62,3.3,2.62,2.6,3.2,2.75,2.5,3.3,2.8
1834,1729,1729,2008/2009,19,8456,8667,5,1,1.8,3.6,4.5,1.75,3.4,4.25,1.75,3.3,4.2,1.83,3.4,4.33,1.8,3.4,4.6,1.8,3.6,4.5
1835,1729,1729,2008/2009,19,8462,8654,1,4,2.2,3.25,3.4,2,3.2,3.5,2,3.2,3.3,2.25,3.25,3.25,2.25,3.2,3.3,2.2,3.3,3.3
1836,1729,1729,2008/2009,19,10194,10260,0,1,12,5,1.3,9,4.5,1.3,8.5,4.4,1.3,9,4.5,1.36,11,4.5,1.33,11,5,1.3
1837,1729,1729,2008/2009,19,8528,10261,2,1,2.25,3.3,3.25,2.3,3.15,2.85,2.1,3.1,3.2,2.25,3.25,3.25,2.2,3.3,3.3,2.25,3.3,3.25
1838,1729,1729,2008/2009,19,8455,8659,2,0,1.14,7.5,21,1.15,6,16,1.15,6,13,1.2,6,15,1.17,6.5,19,1.15,7.5,17
1839,1729,1729,2008/2009,2,8650,8549,2,1,1.36,4.5,10,1.35,4.5,7.2,1.4,4,6.5,1.4,4.2,9,1.36,4.5,9.5,1.4,4.6,8.5
1840,1729,1729,2008/2009,2,8586,8472,1,2,1.5,4,7,1.4,4,7.5,1.5,3.8,5.5,1.53,3.75,7,1.44,4.2,7.5,1.5,4.2,7
1841,1729,1729,2008/2009,2,10261,8559,1,0,1.8,3.5,4.75,1.7,3.35,4.7,1.75,3.3,4.2,1.8,3.5,4.5,1.83,3.4,4.5,1.8,3.5,4.8
1842,1729,1729,2008/2009,2,8456,8654,3,0,2.3,3.25,3.2,2.1,3.15,3.25,2.1,3.2,3.1,2.25,3.3,3.2,2.25,3.3,3.2,2.3,3.25,3.3
1843,1729,1729,2008/2009,2,8655,8667,1,1,1.57,3.75,7,1.55,3.45,6,1.6,3.6,4.8,1.62,3.6,6,1.57,3.8,6,1.55,3.75,7
1844,1729,1729,2008/2009,2,9879,9825,1,0,6.5,3.75,1.57,6,3.45,1.55,5,3.5,1.6,6,3.6,1.62,6,3.8,1.57,6.5,3.9,1.55
1845,1729,1729,2008/2009,2,8659,8668,1,2,2.88,3.25,2.5,2.65,3.15,2.45,2.8,3.1,2.3,2.8,3.3,2.5,2.62,3.3,2.62,2.9,3.3,2.5
1846,1729,1729,2008/2009,2,8462,10260,0,1,4.8,3.4,1.8,5,3.4,1.65,4.2,3.3,1.75,5,3.5,1.73,4.8,3.3,1.8,5,3.4,1.8
1847,1729,1729,2008/2009,2,10194,10252,3,2,5,3.6,1.73,4.65,3.4,1.7,4.3,3.4,1.7,5,3.25,1.8,5,3.6,1.7,5.3,3.7,1.7
1848,1729,1729,2008/2009,2,8528,8455,0,1,8.5,4.5,1.4,8,4.25,1.35,6.5,4,1.4,8,4,1.44,8.5,4.33,1.4,8,4.8,1.4
1849,1729,1729,2008/2009,20,10260,8549,1,0,1.2,6.5,19,1.18,5.75,12,1.25,4.8,9.5,1.2,6,15,1.2,6,15,1.18,6.5,15
1850,1729,1729,2008/2009,20,9825,8462,1,0,1.4,4.5,10,1.35,4.2,8.25,1.4,3.8,7,1.36,4.33,10,1.4,4.33,8.5,1.4,4.35,9
1851,1729,1729,2008/2009,20,8654,10194,2,1,1.72,3.6,5.5,1.65,3.35,5,1.75,3.3,4.2,1.73,3.5,5,1.8,3.5,4.5,1.7,3.5,5.5
1852,1729,1729,2008/2009,20,8668,8472,3,0,1.8,3.6,5,1.7,3.3,4.75,1.75,3.3,4.2,1.73,3.5,5,1.8,3.5,4.5,1.8,3.4,4.7
1853,1729,1729,2008/2009,20,10261,8650,1,5,5,3.6,1.8,4.2,3.4,1.75,3.8,3.2,1.85,5,3.5,1.73,4.5,3.75,1.73,4.5,3.5,1.8
1854,1729,1729,2008/2009,20,8655,8456,2,2,2.62,3.3,2.87,2.45,3.25,2.6,2.3,3.1,2.8,2.4,3.4,2.8,2.5,3.3,2.75,2.5,3.3,2.8
1855,1729,1729,2008/2009,20,9879,8455,2,2,6.5,3.75,1.61,6,3.7,1.5,5,3.5,1.6,6.5,3.6,1.57,6.5,3.6,1.57,6,3.6,1.6
1856,1729,1729,2008/2009,20,8559,8528,0,1,2.3,3.25,3.4,2.1,3.15,3.25,2.1,3.1,3.2,2.25,3.25,3.25,2.25,3.25,3.2,2.2,3.25,3.4
1857,1729,1729,2008/2009,20,8659,8586,2,0,3.5,3.4,2.2,3.35,3.3,2,3,3.1,2.2,3.3,3.3,2.2,3.2,3.4,2.2,3.4,3.25,2.2
1858,1729,1729,2008/2009,20,8667,10252,0,1,4.33,3.6,1.91,4,3.35,1.8,3.3,3.2,2,4,3.4,1.91,4,3.3,1.95,4,3.4,1.9
1859,1729,1729,2008/2009,21,10260,8455,3,0,2.2,3.2,3.5,2.2,3.2,3,2.1,3,3.3,2.2,3,3,2.2,3.1,3.5,2.2,3.2,3.25
1860,1729,1729,2008/2009,21,9825,8559,1,0,1.36,4.33,11,1.3,4.75,8.25,1.33,4.2,8,1.33,3.75,9,1.36,4.33,10,1.35,4.35,10
1861,1729,1729,2008/2009,21,10252,8659,2,1,1.4,4.33,9,1.3,4.65,8.5,1.4,4,6.5,1.4,3.75,7,1.4,4.2,9,1.4,4.2,9.5
1862,1729,1729,2008/2009,21,8668,8667,2,0,1.62,3.75,6,1.6,3.55,5.15,1.6,3.6,4.8,1.62,3.25,5,1.62,3.6,6,1.6,3.75,5.5
1863,1729,1729,2008/2009,21,8549,8472,1,1,2.25,3.2,3.4,2.1,3.15,3.25,2.2,3.2,2.9,2.2,3.2,2.8,2.15,3.2,3.5,2.1,3.3,3.4
1864,1729,1729,2008/2009,21,10261,8654,2,2,2.2,3.3,3.4,2.05,3.15,3.4,2.1,3.2,3.1,2,3.2,3.2,2.15,3.2,3.5,2.2,3.25,3.4
1865,1729,1729,2008/2009,21,9879,8655,1,2,2.25,3.2,3.4,2,3.15,3.5,2.1,3.25,3.4,2.1,3.2,3,2.25,3.2,3.3,2.25,3.2,3.2
1866,1729,1729,2008/2009,21,8462,8456,2,0,2.87,3.25,2.5,2.85,3.15,2.3,2.6,3.2,2.4,2.88,3.3,2.4,2.9,3.3,2.4,2.75,3.3,2.5
1867,1729,1729,2008/2009,21,10194,8650,0,0,10,4.5,1.36,8,4.25,1.35,7.5,4,1.37,8,4,1.33,9.5,4.5,1.36,9.5,4.4,1.35
1868,1729,1729,2008/2009,21,8528,8586,1,0,2.5,3.25,2.88,2.3,3.15,2.85,2.4,3.1,2.7,2.25,3.2,2.75,2.4,3.3,2.9,2.4,3.3,2.9
